target_name,horizon_hours,angular_mae_model,angular_mae_persistence,angular_mae_improvement_pct,within_30deg_model,within_30deg_persistence,recommended_use
current_direction,3,22.0132001616107,30.73881589078888,28.386310520805957,78.2588542654278,65.15244946899624,experimental
current_direction,6,35.531910977243854,50.0013461984653,28.938091314160573,60.75097021851008,45.064778738636,experimental
current_direction,12,41.38142581500737,52.852009574936446,21.70321214307937,54.5286408793067,45.683152162396965,experimental
current_direction,24,26.523599241359,26.831930489679184,1.14912062864348,72.62662930412262,72.31396142686465,experimental
current_direction,48,37.59634919021109,38.83689792094705,3.194252881013078,58.553899524604915,57.40321118736242,experimental
swell_direction,3,10.296783780623937,9.530584694711306,-8.03937125009556,91.36736651390814,91.43080444370013,secondary
swell_direction,6,12.787972146718596,12.96818066351674,1.3896206528424075,88.59675862419346,87.85906619925824,secondary
swell_direction,12,15.50517742804789,16.836327162379586,7.906414038485314,85.2864503777927,83.50491843343313,secondary
swell_direction,24,19.4931353576866,21.520454917362137,9.42043078299402,80.13060464735723,77.6437980690558,secondary
swell_direction,48,24.414024050200094,28.198382237629485,13.42047978333783,73.22025504519004,68.47839544385292,secondary
wave_direction,3,2.4892735410555287,3.1316210167323884,20.51166064618831,99.42550610780388,99.21844470496288,main
wave_direction,6,4.297937178800506,5.2894325052075395,18.744833693045308,98.66534572981762,98.16440583244425,main
wave_direction,12,7.065289400519135,8.417079081892426,16.06008056026683,97.00311602615018,96.0489603063074,main
wave_direction,24,11.326167903640046,12.82849574537719,11.710865182915263,93.14862542955326,91.372627229586,main
wave_direction,48,17.202066680418376,18.858012463373363,8.781125721341091,85.19974412942098,82.40270727580372,main
wind_direction,3,17.294711119684077,20.189980448385644,14.340129432532796,84.76798343971019,82.215513771491,main
wind_direction,6,21.49249047253894,25.250403511502515,14.882586083235084,79.68444198844144,76.49259745343187,main
wind_direction,12,25.693040139564783,30.26917658653613,15.11813984727564,74.44909778946882,70.45895057455351,main
wind_direction,24,31.46713328666852,34.6278069359221,9.127559406526466,68.53158602150538,65.96507693733778,main
wind_direction,48,37.837870210815616,42.85671984359114,11.71076473209381,62.51227208976157,57.59817671809257,main
