target_name,horizon_hours,mae_model,mae_persistence,mae_improvement_pct,rmse_model,rmse_persistence,rmse_improvement_pct,r2_model,corr_model,recommended_use
current_speed,3,0.0690777137062038,0.0543856272556468,-27.014649259251783,0.0919944758463064,0.0698171012982756,-31.764960354460488,0.4307734125910945,0.7739585306889513,not_priority
current_speed,6,0.0760976164726936,0.0807424001217736,5.752595466662967,0.0986930732447208,0.1033149767821734,4.473604584161408,0.3450113529084734,0.6613734503301493,not_priority
current_speed,12,0.0787438050734079,0.0840321180085213,6.293204384753323,0.1038167869626703,0.1092337300993451,4.959038871736985,0.2756500296169896,0.6644249600576698,not_priority
current_speed,24,0.0842858756307517,0.0553239993540264,-52.3495709183892,0.1115620138847112,0.0770018141488517,-44.88231883608796,0.164922393413208,0.6326539986423595,not_priority
current_speed,48,0.0722577387688659,0.076050773604078,4.987503289524313,0.1014415382014455,0.102817862181632,1.338603965286855,0.3119779126831753,0.5597801357255773,not_priority
daily_tidal_range,3,0.0093933053375247,0.02051217223777,54.20618923904919,0.0224171768691507,0.0684972253249688,67.27286869972072,0.9978646950849333,0.998931884866532,main
daily_tidal_range,6,0.0159161675482455,0.04099355518518,61.17397606441423,0.0327018234839912,0.0967930104986636,66.21468501132858,0.9954590075050574,0.9977271789269934,main
daily_tidal_range,12,0.0316222322600067,0.0820401161245968,61.45515906878888,0.0502042521357216,0.1368828663129211,63.32320217422085,0.9893106264439367,0.9946653468241784,main
daily_tidal_range,24,0.0556227205526841,0.1641464991445057,66.11397693975981,0.0724134909716272,0.1934530807678827,62.56793084700803,0.9777925853186392,0.9889139296424008,main
daily_tidal_range,48,0.092722715024502,0.3134008056126809,70.41401510017363,0.1174323271131249,0.3694962739075809,68.21826486334274,0.9416880155915398,0.9712192505451964,main
hs,3,0.0562254427618858,0.0888290881876464,36.703793870862725,0.0960332244982262,0.1303481768346011,26.325609739764253,0.9857156549439616,0.9929359021365648,main
hs,6,0.1044166267974285,0.1548100392311404,32.5517729237647,0.1593035204327441,0.22391385415807,28.854996028836528,0.9606956623709516,0.9804557758885342,main
hs,12,0.1917114604284492,0.2541954851061016,24.58109145863525,0.2781067285501721,0.3683948884792644,24.50852678814362,0.8802780618400492,0.9392295947474336,main
hs,24,0.3159057509983698,0.3864841579949272,18.261655888488903,0.4470751019461585,0.5555031144020742,19.5188847091567,0.6912050017267313,0.8332225436966454,main
hs,48,0.443218597064323,0.5392471939143304,17.807899222052015,0.5982790757998016,0.7321585428531537,18.285584230382177,0.4487680912136133,0.674124780863652,main
sea_level,3,0.0198898486859998,0.6367682356042043,96.8764383061402,0.0283546348272232,0.7489102828384943,96.21388095784258,0.997368839718326,0.9986872571286964,main
sea_level,6,0.0340981289658615,0.9239716561869648,96.3096130993263,0.0549968535243231,1.0845280481905688,94.92895977968664,0.99009987325412,0.9950415798257272,main
